X,Y,OBJECTID,PARK_ID,FACILITYID,COURT_ID,PARKNAME,PARKNAME_FR,CLUB,CLUB_FR,SURFACE_COLOUR,ADDRESS,ADDRESS_FR,NO_COURTS,INDOOR_COURT,OUTDOOR_COURT,LIGHTS,CLUBHOUSE,BENCHES,FENCE,PRACTICE_COURT,BACKWALL,COURT_TYPE,COURT_TYPE_FR,ACCESSIBLE,OPEN,MODIFIED_DATE,CREATED_DATE,SURFACE_COLOUR_FR,PARKADDRESS,PARKADDRESS_FR,LINK,LINK_FR,LINK_LABEL,LINK_LABEL_FR,LINK_DESCRIPTION,LINK_DESCRIPTION_FR,PICKLEBALL
-75.7755272206985,45.3498565276062,104,1109,4051,60,Pinecrest Recreation Complex and Park,Parc et complexe récréatif Pinecrest,Public Tennis Courts,Courts de tennis publics,Green Acrylic,"2250 Torquay Avenue, Ottawa","2250, avenue Torquay, Ottawa",4,0,4,no/non,no/non,yes/oui,yes/oui,no/non,no/non,Public Courts,Courts publics,no/non,,2019/02/27 10:27:38+00,,acrylique vert,"2250 Torquay Avenue, Ottawa","2250, avenue Torquay, Ottawa",,,,,,,2
-75.7369611549592,45.2540552543898,105,2389,34744,,Half Moon Bay Park,Parc Half Moon Bay,Public Tennis Courts,Courts de tennis publics,Blue Acrylic,"3525 Cambrian Road, Nepean","3525, chemin Cambrian, Nepean",2,0,2,yes/oui,no/non,no/non,yes/oui,no/non,no/non,Public Courts,Courts publics,no/non,,2019/02/27 10:40:08+00,2014/05/23 09:49:57+00,acrylique bleu,"3525 Cambrian Road, Nepean","3525, chemin Cambrian, Nepean",,,,,,,2
-75.9202370427181,45.3181621937345,106,438,27032,30,Jim Malone Park,Parc Jim-Malone,Public Tennis Courts,Courts de tennis publics,Green Acrylic,"400 Goldridge Drive, Kanata","400, promenade Goldridge, Kanata",1,0,1,yes/oui,no/non,no/non,yes/oui,no/non,no/non,Public Courts,Courts publics,no/non,,2019/02/27 10:29:16+00,,acrylique vert,"400 Goldridge Drive, Kanata","400, promenade Goldridge, Kanata",,,,,,,1
-75.6306400101565,45.450693910515,107,2599,49259,,Eugène Martineau Park - (FUTURE),Parc Eugène-Martineau - (FUTUR),Public Tennis Courts,Courts de tennis publics,Blue Acrylic,"710 Mikinak Road, Ottawa","710, chemin Mikinak, Ottawa",2,0,2,yes/oui,no/non,yes/oui,no/non,no/non,no/non,Public Courts,Courts publics,yes/oui,,2018/11/29 16:14:30+00,2018/11/29 16:11:50+00,acrylique bleu,710 Mikinak Road,"710, chemin Mikinak",,,,,,,0
-75.6594570122568,45.3449828556868,108,990,27021,78,Windsor Park Gloucester,Parc Windsor (Gloucester),Public Tennis Courts,Courts de tennis publics,Green Acrylic,"3560 Wyman Place, Gloucester","3560, place Wyman, Gloucester",1,0,1,no/non,no/non,yes/oui,yes/oui,no/non,no/non,Public Courts,Courts publics,no/non,,2019/02/27 10:31:28+00,,acrylique vert,"3560 Wyman Place, Gloucester","3560, place Wyman, Gloucester",,,,,,,1
-75.4246124346028,45.4196280964093,109,267,27000,38,Navan Centennial Park,Parc du centenaire de Navan,Public Tennis Courts,Courts de tennis publics,Green Acrylic,"1279 Colonial Road, Cumberland","1279, chemin Colonial, Cumberland",2,0,2,no/non,no/non,yes/oui,yes/oui,no/non,no/non,Public Courts,Courts publics,no/non,,2019/02/27 10:32:31+00,,acrylique vert,3591 Wickham Court,3591 cour Wickham,,,,,,,2
-75.6349312892182,45.3408089511767,110,10,27045,1,Aladdin Park,Parc Aladdin,Public Tennis Courts,Courts de tennis publics,Green Acrylic,"3939 Albion Road, Gloucester","3939,chemin Albion, Gloucester",2,0,2,yes/oui,no/non,yes/oui,yes/oui,no/non,no/non,Public Courts,Courts publics,no/non,,2019/02/27 10:35:33+00,,acrylique vert,3939 Albion Road,"3939,chemin Albion",,,,,,,2
-75.9378409787946,45.3492097777066,111,80,27034,40,Klondike Road Park,Parc du chemin Klondike,Public Tennis Courts,Courts de tennis publics,Asphalt,"1365 Halton Terrace, Kanata","1365, terrasse Halton, Kanata",2,0,2,no/non,no/non,yes/oui,yes/oui,no/non,no/non,Public Courts,Courts publics,no/non,,2022/08/10 15:19:22+00,,asphalte,"1365 Halton Terrace, Kanata","1365, terrasse Halton, Kanata",,,,,,,2
-75.7092901273786,45.3251839233636,112,140,27055,10,Pineglen Park,Parc Pineglen,Grenfell Tennis Club - Pineglen Site,Club de tennis de Grenfell - Emplacement Pineglen,Blue Acrylic,"22 Brisbane Road, Nepean","22, chemin Brisbane, Nepean",2,0,2,yes/oui,no/non,no/non,yes/oui,no/non,no/non,Membership Clubs,Abonnement des clubs,no/non,,2018/01/17 09:10:09+00,,acrylique bleu,"22 Brisbane Road, Nepean","22, chemin Brisbane, Nepean",,,,,,,0
-75.8962833542759,45.320430325194,113,164,27033,15,Beaverbrook Park,Parc Beaverbrook,March Tennis Club,Club de tennis de March,Green Acrylic,"2500 Campeau Drive, Kanata","2500, promenade Campeau, Kanata",8,0,8,yes/oui,yes/oui,no/non,yes/oui,no/non,no/non,Membership Clubs,Abonnement des clubs,no/non,,2019/02/27 10:43:54+00,,acrylique vert,"2500 Campeau Drive, Kanata","2500, promenade Campeau, Kanata",,,,,,,2
